rFactor	fee
540000000000000000	1504829326283565
541000000000000000	1504837041939477
542000000000000000	1504844836218056
543000000000000000	1504852710190326
544000000000000000	1504860664945597
545000000000000000	1504868701591839
546000000000000000	1504876821256069
547000000000000000	1504885025084740
548000000000000000	1504893314244152
549000000000000000	1504901689920857
550000000000000000	1504910153322089
551000000000000000	1504918705676193
552000000000000000	1504927348233073
553000000000000000	1504936082264643
554000000000000000	1504944909065298
555000000000000000	1504953829952387
556000000000000000	1504962846266709
557000000000000000	1504971959373008
558000000000000000	1504981170660496
559000000000000000	1504990481543372
560000000000000000	1504999893461370
561000000000000000	1505009407880308
562000000000000000	1505019026292661
563000000000000000	1505028750218143
564000000000000000	1505038581204305
565000000000000000	1505048520827148
566000000000000000	1505058570691753
567000000000000000	1505068732432926
568000000000000000	1505079007715861
569000000000000000	1505089398236821
570000000000000000	1505099905723833
571000000000000000	1505110531937405
572000000000000000	1505121278671261
573000000000000000	1505132147753095
574000000000000000	1505143141045345
575000000000000000	1505154260445987
576000000000000000	1505165507889353
577000000000000000	1505176885346966
578000000000000000	1505188394828404
579000000000000000	1505200038382182
580000000000000000	1505211818096661
581000000000000000	1505223736100978
582000000000000000	1505235794566007
583000000000000000	1505247995705344
584000000000000000	1505260341776316
585000000000000000	1505272835081022
586000000000000000	1505285477967404
587000000000000000	1505298272830341
588000000000000000	1505311222112782
589000000000000000	1505324328306906
590000000000000000	1505337593955317
591000000000000000	1505351021652270
592000000000000000	1505364614044933
593000000000000000	1505378373834690
594000000000000000	1505392303778474
595000000000000000	1505406406690143
596000000000000000	1505420685441894
597000000000000000	1505435142965719
598000000000000000	1505449782254904
599000000000000000	1505464606365570
600000000000000000	1505479618418262
601000000000000000	1505494821599580
602000000000000000	1505510219163870
603000000000000000	1505525814434946
604000000000000000	1505541610807885
605000000000000000	1505557611750861
606000000000000000	1505573820807040
607000000000000000	1505590241596532
608000000000000000	1505606877818403
609000000000000000	1505623733252747
610000000000000000	1505640811762820
611000000000000000	1505658117297249
612000000000000000	1505675653892295
613000000000000000	1505693425674200
614000000000000000	1505711436861597
615000000000000000	1505729691768004
616000000000000000	1505748194804390
617000000000000000	1505766950481827
618000000000000000	1505785963414225
619000000000000000	1505805238321152
620000000000000000	1505824780030748
621000000000000000	1505844593482730
622000000000000000	1505864683731500
623000000000000000	1505885055949343
624000000000000000	1505905715429746
625000000000000000	1505926667590809
626000000000000000	1505947917978780
627000000000000000	1505969472271704
628000000000000000	1505991336283190
629000000000000000	1506013515966312
630000000000000000	1506036017417634
631000000000000000	1506058846881373
632000000000000000	1506082010753706
633000000000000000	1506105515587222
634000000000000000	1506129368095523
635000000000000000	1506153575157992
636000000000000000	1506178143824720
637000000000000000	1506203081321603
638000000000000000	1506228395055623
639000000000000000	1506254092620310
640000000000000000	1506280181801400
641000000000000000	1506306670582689
642000000000000000	1506333567152105
643000000000000000	1506360879907982
644000000000000000	1506388617465581
645000000000000000	1506416788663827
646000000000000000	1506445402572304
647000000000000000	1506474468498503
648000000000000000	1506503995995332
649000000000000000	1506533994868910
650000000000000000	1506564475186648
651000000000000000	1506595447285629
652000000000000000	1506626921781308
653000000000000000	1506658909576536
654000000000000000	1506691421870931
655000000000000000	1506724470170601
656000000000000000	1506758066298242
657000000000000000	1506792222403632
658000000000000000	1506826950974519
659000000000000000	1506862264847946
660000000000000000	1506898177222014
661000000000000000	1506934701668106
662000000000000000	1506971852143606
663000000000000000	1507009643005110
664000000000000000	1507048089022182
665000000000000000	1507087205391652
666000000000000000	1507127007752504
667000000000000000	1507167512201362
668000000000000000	1507208735308618
669000000000000000	1507250694135220
670000000000000000	1507293406250163
671000000000000000	1507336889748701
672000000000000000	1507381163271331
673000000000000000	1507426246023577
674000000000000000	1507472157796609
675000000000000000	1507518918988753
676000000000000000	1507566550627913
677000000000000000	1507615074394976
678000000000000000	1507664512648223
679000000000000000	1507714888448817
680000000000000000	1507766225587410
681000000000000000	1507818548611929
682000000000000000	1507871882856605
683000000000000000	1507926254472295
684000000000000000	1507981690458185
685000000000000000	1508038218694924
686000000000000000	1508095867979278
687000000000000000	1508154668060378
688000000000000000	1508214649677649
689000000000000000	1508275844600496
690000000000000000	1508338285669872
691000000000000000	1508402006841790
692000000000000000	1508467043232914
693000000000000000	1508533431168330
694000000000000000	1508601208231619
695000000000000000	1508670413317354
696000000000000000	1508741086686170
697000000000000000	1508813270022531
698000000000000000	1508887006495362
699000000000000000	1508962340821706
700000000000000000	1509039319333569
701000000000000000	1509117990048148
702000000000000000	1509198402741636
703000000000000000	1509280609026799
704000000000000000	1509364662434576
705000000000000000	1509450618499901
706000000000000000	1509538534852040
707000000000000000	1509628471309675
708000000000000000	1509720489981058
709000000000000000	1509814655369513
710000000000000000	1509911034484633
711000000000000000	1510009696959520
712000000000000000	1510110715174443
713000000000000000	1510214164387312
714000000000000000	1510320122871412
715000000000000000	1510428672060839
716000000000000000	1510539896704158
717000000000000000	1510653885026794
718000000000000000	1510770728902728
719000000000000000	1510890524036126
720000000000000000	1511013370153533
721000000000000000	1511139371207360
722000000000000000	1511268635591409
723000000000000000	1511401276369261
724000000000000000	1511537411516393
725000000000000000	1511677164176996
726000000000000000	1511820662936478
727000000000000000	1511968042110792
728000000000000000	1512119442053737
