block	shorEMA	longEMA	rFactor	fee
8520	1000000000000000000	1000000000000000000	206395098232673391	1503942723370215
8540	1000000000000000000	1000000000000000000	205632085785884982	1503942113649708
8560	1000000000000000000	1000000000000000000	204871894084351380	1503941508379597
8580	1000000000000000000	1000000000000000000	204114512700190531	1503940907516744
8600	1000000000000000000	1000000000000000000	203359931244070750	1503940311018545
8620	1000000000000000000	1000000000000000000	202608139365068186	1503939718842923
8640	1000000000000000000	1000000000000000000	201859126750524830	1503939130948319
8660	1000000000000000000	1000000000000000000	201112883125907076	1503938547293684
8680	1000000000000000000	1000000000000000000	200369398254664735	1503937967838472
8700	1000000000000000000	1000000000000000000	199628661938090668	1503937392542632
8720	1000000000000000000	1000000000000000000	198890664015180866	1503936821366601
8740	1000000000000000000	1000000000000000000	198155394362495041	1503936254271298
8760	1000000000000000000	1000000000000000000	197422842894017800	1503935691218114
8780	1000000000000000000	1000000000000000000	196692999561020271	1503935132168907
8800	1000000000000000000	1000000000000000000	195965854351922245	1503934577085996
8820	1000000000000000000	1000000000000000000	195241397292154874	1503934025932151
8840	1000000000000000000	1000000000000000000	194519618444023817	1503933478670590
8860	1000000000000000000	1000000000000000000	193800507906572952	1503932935264970
8880	1000000000000000000	1000000000000000000	193084055815448529	1503932395679381
8900	1000000000000000000	1000000000000000000	192370252342763865	1503931859878341
8920	1000000000000000000	1000000000000000000	191659087696964539	1503931327826789
8940	1000000000000000000	1000000000000000000	190950552122694086	1503930799490079
8960	1000000000000000000	1000000000000000000	190244635900660140	1503930274833973
8980	1000000000000000000	1000000000000000000	189541329347501153	1503929753824636
9000	1000000000000000000	1000000000000000000	188840622815653538	1503929236428631
9020	1000000000000000000	1000000000000000000	188142506693219352	1503928722612912
9040	1000000000000000000	1000000000000000000	187446971403834398	1503928212344819
9060	1000000000000000000	1000000000000000000	186754007406536934	1503927705592074
9080	1000000000000000000	1000000000000000000	186063605195636735	1503927202322770
9100	1000000000000000000	1000000000000000000	185375755300584719	1503926702505375
9120	1000000000000000000	1000000000000000000	184690448285843044	1503926206108718
9140	1000000000000000000	1000000000000000000	184007674750755669	1503925713101987
9160	1000000000000000000	1000000000000000000	183327425329419400	1503925223454727
9180	1000000000000000000	1000000000000000000	182649690690555399	1503924737136831
9200	1000000000000000000	1000000000000000000	181974461537381243	1503924254118535
9220	1000000000000000000	1000000000000000000	181301728607483297	1503923774370418
9240	1000000000000000000	1000000000000000000	180631482672689756	1503923297863391
9260	1000000000000000000	1000000000000000000	179963714538943985	1503922824568696
9280	1000000000000000000	1000000000000000000	179298415046178454	1503922354457902
9300	1000000000000000000	1000000000000000000	178635575068189042	1503921887502897
9320	1000000000000000000	1000000000000000000	177975185512509876	1503921423675888
9340	1000000000000000000	1000000000000000000	177317237320288601	1503920962949394
9360	1000000000000000000	1000000000000000000	176661721466162103	1503920505296241
9380	1000000000000000000	1000000000000000000	176008628958132717	1503920050689559
9400	1000000000000000000	1000000000000000000	175357950837444873	1503919599102780
9420	1000000000000000000	1000000000000000000	174709678178462229	1503919150509628
9440	1000000000000000000	1000000000000000000	174063802088545183	1503918704884123
9460	1000000000000000000	1000000000000000000	173420313707928936	1503918262200569
9480	1000000000000000000	1000000000000000000	172779204209601950	1503917822433556
9500	1000000000000000000	1000000000000000000	172140464799184823	1503917385557954
9520	1000000000000000000	1000000000000000000	171504086714809718	1503916951548908
9540	1000000000000000000	1000000000000000000	170870061227000140	1503916520381836
9560	1000000000000000000	1000000000000000000	170238379638551156	1503916092032426
9580	1000000000000000000	1000000000000000000	169609033284410166	1503915666476631
9600	1000000000000000000	1000000000000000000	168982013531557973	1503915243690664
9620	1000000000000000000	1000000000000000000	168357311778890415	1503914823650999
9640	1000000000000000000	1000000000000000000	167734919457100306	1503914406334363
9660	1000000000000000000	1000000000000000000	167114828028559984	1503913991717734
9680	1000000000000000000	1000000000000000000	166497028987204124	1503913579778342
9700	1000000000000000000	1000000000000000000	165881513858413068	1503913170493657
9720	1000000000000000000	1000000000000000000	165268274198896603	1503912763841393
9740	1000000000000000000	1000000000000000000	164657301596578101	1503912359799504
9760	1000000000000000000	1000000000000000000	164048587670479195	1503911958346176
9780	1000000000000000000	1000000000000000000	163442124070604706	1503911559459832
9800	1000000000000000000	1000000000000000000	162837902477828219	1503911163119119
9820	1000000000000000000	1000000000000000000	162235914603777870	1503910769302915
9840	1000000000000000000	1000000000000000000	161636152190722723	1503910377990318
9860	1000000000000000000	1000000000000000000	161038607011459432	1503909989160649
9880	1000000000000000000	1000000000000000000	160443270869199446	1503909602793446
9900	1000000000000000000	1000000000000000000	159850135597456529	1503909218868462
9920	1000000000000000000	1000000000000000000	159259193059934746	1503908837365661
9940	1000000000000000000	1000000000000000000	158670435150416857	1503908458265217
9960	1000000000000000000	1000000000000000000	158083853792653124	1503908081547512
